cell_id,clone_id
SA922-A90554B-R26-C08,0
SA921-A90554A-R03-C28,6
SA1090-A96213A-R33-C70,8
SA922-A90554B-R28-C19,0
SA1090-A96213A-R30-C63,11
SA1090-A96213A-R28-C57,1
SA922-A90554B-R30-C45,0
SA921-A90554A-R09-C66,16
SA1090-A96213A-R28-C22,8
SA922-A90554B-R25-C67,17
SA1090-A96213A-R29-C44,8
SA922-A90554B-R29-C68,0
SA921-A90554A-R08-C12,16
SA1090-A96213A-R33-C62,11
SA1090-A96213A-R27-C26,1
SA922-A90554B-R29-C25,0
SA922-A90554B-R23-C33,0
SA921-A90554A-R12-C37,16
