dataset,index,method,metric,value
25_4,0,copy_nj,tree_acc,0.4090909090909091
25_4,0,dice,tree_acc,0.3181818181818182
25_4,0,scistree2,tree_acc,0.45454545454545453
25_4,0,cellphy,tree_acc,0.36363636363636365
25_4,0,scistreec,tree_acc,0.4090909090909091
25_4,0,condor,tree_acc,0.18181818181818182
25_4,0,scistree2,geno_acc,0.9648
25_4,0,cellphy,geno_acc,0.7312
25_4,0,scistreec,geno_acc,0.9696
25_4,0,condor,geno_acc,0.824
25_4,1,copy_nj,tree_acc,0.2727272727272727
25_4,1,dice,tree_acc,0.18181818181818182
25_4,1,scistree2,tree_acc,0.36363636363636365
25_4,1,cellphy,tree_acc,0.4090909090909091
25_4,1,scistreec,tree_acc,0.5
25_4,1,condor,tree_acc,0.18181818181818182
25_4,1,scistree2,geno_acc,0.9776
25_4,1,cellphy,geno_acc,0.808
25_4,1,scistreec,geno_acc,0.9776
25_4,1,condor,geno_acc,0.8336
25_4,2,copy_nj,tree_acc,0.22727272727272727
25_4,2,dice,tree_acc,0.18181818181818182
25_4,2,scistree2,tree_acc,0.2727272727272727
25_4,2,cellphy,tree_acc,0.2727272727272727
25_4,2,scistreec,tree_acc,0.2727272727272727
25_4,2,condor,tree_acc,0.22727272727272727
25_4,2,scistree2,geno_acc,0.9712
25_4,2,cellphy,geno_acc,0.7888
25_4,2,scistreec,geno_acc,0.9584
25_4,2,condor,geno_acc,0.8576
25_4,3,copy_nj,tree_acc,0.22727272727272727
25_4,3,dice,tree_acc,0.22727272727272727
25_4,3,scistree2,tree_acc,0.18181818181818182
25_4,3,cellphy,tree_acc,0.2727272727272727
25_4,3,scistreec,tree_acc,0.36363636363636365
25_4,3,condor,tree_acc,0.13636363636363635
25_4,3,scistree2,geno_acc,0.968
25_4,3,cellphy,geno_acc,0.7392
25_4,3,scistreec,geno_acc,0.9376
25_4,3,condor,geno_acc,0.8096
25_4,4,copy_nj,tree_acc,0.2727272727272727
25_4,4,dice,tree_acc,0.22727272727272727
25_4,4,scistree2,tree_acc,0.36363636363636365
25_4,4,cellphy,tree_acc,0.3181818181818182
25_4,4,scistreec,tree_acc,0.4090909090909091
25_4,4,condor,tree_acc,0.2727272727272727
25_4,4,scistree2,geno_acc,0.9696
25_4,4,cellphy,geno_acc,0.672
25_4,4,scistreec,geno_acc,0.9648
25_4,4,condor,geno_acc,0.7824
25_6,0,copy_nj,tree_acc,0.5909090909090909
25_6,0,dice,tree_acc,0.5
25_6,0,scistree2,tree_acc,0.45454545454545453
25_6,0,cellphy,tree_acc,0.3181818181818182
25_6,0,scistreec,tree_acc,0.5909090909090909
25_6,0,condor,tree_acc,0.2727272727272727
25_6,0,scistree2,geno_acc,0.9664
25_6,0,cellphy,geno_acc,0.6384
25_6,0,scistreec,geno_acc,0.9552
25_6,0,condor,geno_acc,0.7152
25_6,1,copy_nj,tree_acc,0.5454545454545454
25_6,1,dice,tree_acc,0.3181818181818182
25_6,1,scistree2,tree_acc,0.3181818181818182
25_6,1,cellphy,tree_acc,0.36363636363636365
25_6,1,scistreec,tree_acc,0.4090909090909091
25_6,1,condor,tree_acc,0.22727272727272727
25_6,1,scistree2,geno_acc,0.9584
25_6,1,cellphy,geno_acc,0.6704
25_6,1,scistreec,geno_acc,0.96
25_6,1,condor,geno_acc,0.7312
25_6,2,copy_nj,tree_acc,0.5454545454545454
25_6,2,dice,tree_acc,0.5
25_6,2,scistree2,tree_acc,0.5454545454545454
25_6,2,cellphy,tree_acc,0.45454545454545453
25_6,2,scistreec,tree_acc,0.7272727272727273
25_6,2,condor,tree_acc,0.18181818181818182
25_6,2,scistree2,geno_acc,0.9648
25_6,2,cellphy,geno_acc,0.6688
25_6,2,scistreec,geno_acc,0.9648
25_6,2,condor,geno_acc,0.6928
25_6,3,copy_nj,tree_acc,0.45454545454545453
25_6,3,dice,tree_acc,0.5909090909090909
25_6,3,scistree2,tree_acc,0.2727272727272727
25_6,3,cellphy,tree_acc,0.22727272727272727
25_6,3,scistreec,tree_acc,0.6363636363636364
25_6,3,condor,tree_acc,0.2727272727272727
25_6,3,scistree2,geno_acc,0.9536
25_6,3,cellphy,geno_acc,0.7184
25_6,3,scistreec,geno_acc,0.9728
25_6,3,condor,geno_acc,0.8752
25_6,4,copy_nj,tree_acc,0.5
25_6,4,dice,tree_acc,0.5
25_6,4,scistree2,tree_acc,0.2727272727272727
25_6,4,cellphy,tree_acc,0.36363636363636365
25_6,4,scistreec,tree_acc,0.5
25_6,4,condor,tree_acc,0.2727272727272727
25_6,4,scistree2,geno_acc,0.952
25_6,4,cellphy,geno_acc,0.6368
25_6,4,scistreec,geno_acc,0.9616
25_6,4,condor,geno_acc,0.736
