dataset,index,method,metric,value
25_4,0,copy_nj,tree_acc,0.18181818181818182
25_4,0,dice,tree_acc,0.18181818181818182
25_4,0,scistree2,tree_acc,0.5454545454545454
25_4,0,cellphy,tree_acc,0.13636363636363635
25_4,0,scistreec,tree_acc,0.5
25_4,0,condor,tree_acc,0.2727272727272727
25_4,0,scistree2,geno_acc,0.9808
25_4,0,cellphy,geno_acc,0.8304
25_4,0,scistreec,geno_acc,0.9808
25_4,0,condor,geno_acc,0.9056
25_4,1,copy_nj,tree_acc,0.22727272727272727
25_4,1,dice,tree_acc,0.22727272727272727
25_4,1,scistree2,tree_acc,0.2727272727272727
25_4,1,cellphy,tree_acc,0.2727272727272727
25_4,1,scistreec,tree_acc,0.3181818181818182
25_4,1,condor,tree_acc,0.13636363636363635
25_4,1,scistree2,geno_acc,0.9808
25_4,1,cellphy,geno_acc,0.7968
25_4,1,scistreec,geno_acc,0.9856
25_4,1,condor,geno_acc,0.7872
25_4,2,copy_nj,tree_acc,0.3181818181818182
25_4,2,dice,tree_acc,0.3181818181818182
25_4,2,scistree2,tree_acc,0.45454545454545453
25_4,2,cellphy,tree_acc,0.4090909090909091
25_4,2,scistreec,tree_acc,0.5454545454545454
25_4,2,condor,tree_acc,0.22727272727272727
25_4,2,scistree2,geno_acc,0.9856
25_4,2,cellphy,geno_acc,0.7408
25_4,2,scistreec,geno_acc,0.984
25_4,2,condor,geno_acc,0.8688
25_4,3,copy_nj,tree_acc,0.36363636363636365
25_4,3,dice,tree_acc,0.36363636363636365
25_4,3,scistree2,tree_acc,0.36363636363636365
25_4,3,cellphy,tree_acc,0.36363636363636365
25_4,3,scistreec,tree_acc,0.45454545454545453
25_4,3,condor,tree_acc,0.3181818181818182
25_4,3,scistree2,geno_acc,0.9776
25_4,3,cellphy,geno_acc,0.792
25_4,3,scistreec,geno_acc,0.9776
25_4,3,condor,geno_acc,0.8832
25_4,4,copy_nj,tree_acc,0.22727272727272727
25_4,4,dice,tree_acc,0.22727272727272727
25_4,4,scistree2,tree_acc,0.3181818181818182
25_4,4,cellphy,tree_acc,0.36363636363636365
25_4,4,scistreec,tree_acc,0.3181818181818182
25_4,4,condor,tree_acc,0.18181818181818182
25_4,4,scistree2,geno_acc,0.968
25_4,4,cellphy,geno_acc,0.648
25_4,4,scistreec,geno_acc,0.968
25_4,4,condor,geno_acc,0.8032
25_6,0,copy_nj,tree_acc,0.5
25_6,0,dice,tree_acc,0.5454545454545454
25_6,0,scistree2,tree_acc,0.3181818181818182
25_6,0,cellphy,tree_acc,0.22727272727272727
25_6,0,scistreec,tree_acc,0.5454545454545454
25_6,0,condor,tree_acc,0.22727272727272727
25_6,0,scistree2,geno_acc,0.9632
25_6,0,cellphy,geno_acc,0.6704
25_6,0,scistreec,geno_acc,0.9664
25_6,0,condor,geno_acc,0.832
25_6,1,copy_nj,tree_acc,0.5454545454545454
25_6,1,dice,tree_acc,0.5
25_6,1,scistree2,tree_acc,0.36363636363636365
25_6,1,cellphy,tree_acc,0.2727272727272727
25_6,1,scistreec,tree_acc,0.4090909090909091
25_6,1,condor,tree_acc,0.3181818181818182
25_6,1,scistree2,geno_acc,0.9504
25_6,1,cellphy,geno_acc,0.6912
25_6,1,scistreec,geno_acc,0.9488
25_6,1,condor,geno_acc,0.752
25_6,2,copy_nj,tree_acc,0.4090909090909091
25_6,2,dice,tree_acc,0.4090909090909091
25_6,2,scistree2,tree_acc,0.4090909090909091
25_6,2,cellphy,tree_acc,0.3181818181818182
25_6,2,scistreec,tree_acc,0.36363636363636365
25_6,2,condor,tree_acc,0.2727272727272727
25_6,2,scistree2,geno_acc,0.9504
25_6,2,cellphy,geno_acc,0.7264
25_6,2,scistreec,geno_acc,0.944
25_6,2,condor,geno_acc,0.8112
25_6,3,copy_nj,tree_acc,0.36363636363636365
25_6,3,dice,tree_acc,0.3181818181818182
25_6,3,scistree2,tree_acc,0.2727272727272727
25_6,3,cellphy,tree_acc,0.2727272727272727
25_6,3,scistreec,tree_acc,0.3181818181818182
25_6,3,condor,tree_acc,0.22727272727272727
25_6,3,scistree2,geno_acc,0.9488
25_6,3,cellphy,geno_acc,0.736
25_6,3,scistreec,geno_acc,0.9536
25_6,3,condor,geno_acc,0.7872
25_6,4,copy_nj,tree_acc,0.5
25_6,4,dice,tree_acc,0.45454545454545453
25_6,4,scistree2,tree_acc,0.2727272727272727
25_6,4,cellphy,tree_acc,0.18181818181818182
25_6,4,scistreec,tree_acc,0.5909090909090909
25_6,4,condor,tree_acc,0.2727272727272727
25_6,4,scistree2,geno_acc,0.9408
25_6,4,cellphy,geno_acc,0.7328
25_6,4,scistreec,geno_acc,0.9424
25_6,4,condor,geno_acc,0.7424
50_4,0,copy_nj,tree_acc,0.10638297872340426
50_4,0,dice,tree_acc,0.10638297872340426
50_4,0,scistree2,tree_acc,0.2765957446808511
50_4,0,cellphy,tree_acc,0.2765957446808511
50_4,0,scistreec,tree_acc,0.3191489361702128
50_4,0,condor,tree_acc,0.19148936170212766
50_4,0,scistree2,geno_acc,0.984
50_4,0,cellphy,geno_acc,0.7884
50_4,0,scistreec,geno_acc,0.9796
50_4,0,condor,geno_acc,0.906
50_4,1,copy_nj,tree_acc,0.14893617021276595
50_4,1,dice,tree_acc,0.14893617021276595
50_4,1,scistree2,tree_acc,0.3404255319148936
50_4,1,cellphy,tree_acc,0.425531914893617
50_4,1,scistreec,tree_acc,0.40425531914893614
50_4,1,condor,tree_acc,0.2553191489361702
50_4,1,scistree2,geno_acc,0.984
50_4,1,cellphy,geno_acc,0.7964
50_4,1,scistreec,geno_acc,0.9864
50_4,1,condor,geno_acc,0.9332
50_4,2,copy_nj,tree_acc,0.14893617021276595
50_4,2,dice,tree_acc,0.1276595744680851
50_4,2,scistree2,tree_acc,0.2978723404255319
50_4,2,cellphy,tree_acc,0.2127659574468085
50_4,2,scistreec,tree_acc,0.2553191489361702
50_4,2,condor,tree_acc,0.2127659574468085
50_4,2,scistree2,geno_acc,0.9836
50_4,2,cellphy,geno_acc,0.8116
50_4,2,scistreec,geno_acc,0.978
50_4,2,condor,geno_acc,0.8984
50_4,3,copy_nj,tree_acc,0.10638297872340426
50_4,3,dice,tree_acc,0.10638297872340426
50_4,3,scistree2,tree_acc,0.2553191489361702
50_4,3,cellphy,tree_acc,0.2765957446808511
50_4,3,scistreec,tree_acc,0.19148936170212766
