dataset,index,method,metric,value
100_4,0,copy_nj,tree_acc,0.05154639175257732
100_4,0,dice,tree_acc,0.061855670103092786
100_4,0,scistree2,tree_acc,0.26804123711340205
100_4,0,cellphy,tree_acc,0.24742268041237114
100_4,0,scistreec,tree_acc,0.20618556701030927
100_4,0,condor,tree_acc,0.17525773195876287
100_4,0,scistree2,geno_acc,0.9801
100_4,0,cellphy,geno_acc,0.9114
100_4,0,scistreec,geno_acc,0.9761
100_4,0,condor,geno_acc,0.9485
100_4,1,copy_nj,tree_acc,0.061855670103092786
100_4,1,dice,tree_acc,0.05154639175257732
100_4,1,scistree2,tree_acc,0.18556701030927836
100_4,1,cellphy,tree_acc,0.21649484536082475
100_4,1,scistreec,tree_acc,0.18556701030927836
100_4,1,condor,tree_acc,0.0
100_4,1,scistree2,geno_acc,0.9837
100_4,1,cellphy,geno_acc,0.8659
100_4,1,scistreec,geno_acc,0.9788
100_4,1,condor,geno_acc,0.9392
100_4,2,copy_nj,tree_acc,0.05154639175257732
100_4,2,dice,tree_acc,0.07216494845360824
100_4,2,scistree2,tree_acc,0.24742268041237114
100_4,2,cellphy,tree_acc,0.21649484536082475
100_4,2,scistreec,tree_acc,0.2268041237113402
100_4,2,condor,tree_acc,0.0
100_4,2,scistree2,geno_acc,0.9859
100_4,2,cellphy,geno_acc,0.88
100_4,2,scistreec,geno_acc,0.9826
100_4,2,condor,geno_acc,0.9422
100_4,3,copy_nj,tree_acc,0.07216494845360824
100_4,3,dice,tree_acc,0.08247422680412371
100_4,3,scistree2,tree_acc,0.18556701030927836
100_4,3,cellphy,tree_acc,0.27835051546391754
100_4,3,scistreec,tree_acc,0.17525773195876287
100_4,3,condor,tree_acc,0.15463917525773196
100_4,3,scistree2,geno_acc,0.987
100_4,3,cellphy,geno_acc,0.8537
100_4,3,scistreec,geno_acc,0.9857
100_4,3,condor,geno_acc,0.9502
100_4,4,copy_nj,tree_acc,0.07216494845360824
100_4,4,dice,tree_acc,0.061855670103092786
100_4,4,scistree2,tree_acc,0.28865979381443296
100_4,4,cellphy,tree_acc,0.30927835051546393
100_4,4,scistreec,tree_acc,0.24742268041237114
100_4,4,condor,tree_acc,0.14432989690721648
100_4,4,scistree2,geno_acc,0.9722
100_4,4,cellphy,geno_acc,0.8522
100_4,4,scistreec,geno_acc,0.9704
100_4,4,condor,geno_acc,0.9342
100_6,0,copy_nj,tree_acc,0.07216494845360824
100_6,0,dice,tree_acc,0.07216494845360824
100_6,0,scistree2,tree_acc,0.25773195876288657
100_6,0,cellphy,tree_acc,0.28865979381443296
100_6,0,scistreec,tree_acc,0.26804123711340205
100_6,0,condor,tree_acc,0.0
100_6,0,scistree2,geno_acc,0.9781
100_6,0,cellphy,geno_acc,0.8606
100_6,0,scistreec,geno_acc,0.9787
100_6,0,condor,geno_acc,0.9223
100_6,1,copy_nj,tree_acc,0.10309278350515463
100_6,1,dice,tree_acc,0.09278350515463918
100_6,1,scistree2,tree_acc,0.25773195876288657
100_6,1,cellphy,tree_acc,0.25773195876288657
100_6,1,scistreec,tree_acc,0.3711340206185567
100_6,1,condor,tree_acc,0.0
100_6,1,scistree2,geno_acc,0.9878
100_6,1,cellphy,geno_acc,0.8224
100_6,1,scistreec,geno_acc,0.9891
100_6,1,condor,geno_acc,0.9361
100_6,2,copy_nj,tree_acc,0.10309278350515463
100_6,2,dice,tree_acc,0.09278350515463918
100_6,2,scistree2,tree_acc,0.30927835051546393
100_6,2,cellphy,tree_acc,0.32989690721649484
100_6,2,scistreec,tree_acc,0.31958762886597936
100_6,2,condor,tree_acc,0.0
100_6,2,scistree2,geno_acc,0.9844
100_6,2,cellphy,geno_acc,0.8452
100_6,2,scistreec,geno_acc,0.9824
100_6,2,condor,geno_acc,0.9227
100_6,3,copy_nj,tree_acc,0.09278350515463918
100_6,3,dice,tree_acc,0.08247422680412371
100_6,3,scistree2,tree_acc,0.26804123711340205
100_6,3,cellphy,tree_acc,0.29896907216494845
100_6,3,scistreec,tree_acc,0.25773195876288657
100_6,3,condor,tree_acc,0.0
100_6,3,scistree2,geno_acc,0.9694
100_6,3,cellphy,geno_acc,0.7874
100_6,3,scistreec,geno_acc,0.9615
100_6,3,condor,geno_acc,0.907
100_6,4,copy_nj,tree_acc,0.08247422680412371
100_6,4,dice,tree_acc,0.10309278350515463
100_6,4,scistree2,tree_acc,0.28865979381443296
100_6,4,cellphy,tree_acc,0.21649484536082475
100_6,4,scistreec,tree_acc,0.26804123711340205
100_6,4,condor,tree_acc,0.0
100_6,4,scistree2,geno_acc,0.9857
100_6,4,cellphy,geno_acc,0.8948
100_6,4,scistreec,geno_acc,0.9787
100_6,4,condor,geno_acc,0.9425
