dataset,index,method,metric,value
100_100,4,cellphy,tree_acc,0.041237113402061855
100_100,4,scistreec,tree_acc,0.13402061855670103
100_100,4,scistree2,geno_acc,0.9529
100_100,4,cellphy,geno_acc,0.935
100_100,4,scistreec,geno_acc,0.9674
100_100,5,copy_nj,tree_acc,0.30927835051546393
100_100,5,dice,tree_acc,0.27835051546391754
100_100,5,scistree2,tree_acc,0.041237113402061855
100_100,5,cellphy,tree_acc,0.07216494845360824
100_100,5,scistreec,tree_acc,0.08247422680412371
100_100,5,scistree2,geno_acc,0.9438
100_100,5,cellphy,geno_acc,0.9351
100_100,5,scistreec,geno_acc,0.9647
100_100,6,copy_nj,tree_acc,0.32989690721649484
100_100,6,dice,tree_acc,0.29896907216494845
100_100,6,scistree2,tree_acc,0.07216494845360824
100_100,6,cellphy,tree_acc,0.1134020618556701
100_100,6,scistreec,tree_acc,0.17525773195876287
100_100,6,scistree2,geno_acc,0.9353
100_100,6,cellphy,geno_acc,0.9088
100_100,6,scistreec,geno_acc,0.9559
100_100,7,copy_nj,tree_acc,0.23711340206185566
100_100,7,dice,tree_acc,0.24742268041237114
100_100,7,scistree2,tree_acc,0.0
100_100,7,cellphy,tree_acc,0.05154639175257732
100_100,7,scistreec,tree_acc,0.09278350515463918
100_100,7,scistree2,geno_acc,0.9438
100_100,7,cellphy,geno_acc,0.9062
100_100,7,scistreec,geno_acc,0.9606
100_100,8,copy_nj,tree_acc,0.28865979381443296
100_100,8,dice,tree_acc,0.29896907216494845
100_100,8,scistree2,tree_acc,0.030927835051546393
100_100,8,cellphy,tree_acc,0.08247422680412371
100_100,8,scistreec,tree_acc,0.13402061855670103
100_100,8,scistree2,geno_acc,0.9396
100_100,8,cellphy,geno_acc,0.8599
100_100,8,scistreec,geno_acc,0.9632
100_100,9,copy_nj,tree_acc,0.35051546391752575
100_100,9,dice,tree_acc,0.25773195876288657
100_100,9,scistree2,tree_acc,0.05154639175257732
100_100,9,cellphy,tree_acc,0.061855670103092786
100_100,9,scistreec,tree_acc,0.08247422680412371
100_100,9,scistree2,geno_acc,0.9575
100_100,9,cellphy,geno_acc,0.9315
100_100,9,scistreec,geno_acc,0.9661
150_150,0,copy_nj,tree_acc,0.42857142857142855
150_150,0,dice,tree_acc,0.47619047619047616
150_150,0,scistree2,tree_acc,0.013605442176870748
150_150,0,cellphy,tree_acc,0.07482993197278912
150_150,0,scistreec,tree_acc,0.14965986394557823
150_150,0,scistree2,geno_acc,0.9649333333333333
150_150,0,cellphy,geno_acc,0.926
150_150,0,scistreec,geno_acc,0.9762222222222222
150_150,1,copy_nj,tree_acc,0.3129251700680272
150_150,1,dice,tree_acc,0.29931972789115646
150_150,1,scistree2,tree_acc,0.02040816326530612
150_150,1,cellphy,tree_acc,0.08163265306122448
150_150,1,scistreec,tree_acc,0.16326530612244897
150_150,1,scistree2,geno_acc,0.9598222222222222
150_150,1,cellphy,geno_acc,0.9482666666666667
150_150,1,scistreec,geno_acc,0.9722666666666666
150_150,2,copy_nj,tree_acc,0.29931972789115646
150_150,2,dice,tree_acc,0.3129251700680272
150_150,2,scistree2,tree_acc,0.034013605442176874
150_150,2,cellphy,tree_acc,0.027210884353741496
150_150,2,scistreec,tree_acc,0.10204081632653061
150_150,2,scistree2,geno_acc,0.9626666666666667
150_150,2,cellphy,geno_acc,0.9542666666666667
150_150,2,scistreec,geno_acc,0.9695555555555555
150_150,3,copy_nj,tree_acc,0.3401360544217687
150_150,3,dice,tree_acc,0.3469387755102041
150_150,3,scistree2,tree_acc,0.047619047619047616
150_150,3,cellphy,tree_acc,0.07482993197278912
150_150,3,scistreec,tree_acc,0.09523809523809523
150_150,3,scistree2,geno_acc,0.9624444444444444
150_150,3,cellphy,geno_acc,0.9417333333333333
150_150,3,scistreec,geno_acc,0.9723111111111111
150_150,4,copy_nj,tree_acc,0.35374149659863946
150_150,4,dice,tree_acc,0.3197278911564626
150_150,4,scistree2,tree_acc,0.034013605442176874
150_150,4,cellphy,tree_acc,0.061224489795918366
150_150,4,scistreec,tree_acc,0.10884353741496598
150_150,4,scistree2,geno_acc,0.9624444444444444
150_150,4,cellphy,geno_acc,0.9024444444444445
150_150,4,scistreec,geno_acc,0.9697333333333333
150_150,5,copy_nj,tree_acc,0.36054421768707484
150_150,5,dice,tree_acc,0.4013605442176871
150_150,5,scistree2,tree_acc,0.034013605442176874
150_150,5,cellphy,tree_acc,0.05442176870748299
150_150,5,scistreec,tree_acc,0.17687074829931973
150_150,5,scistree2,geno_acc,0.9679555555555556
150_150,5,cellphy,geno_acc,0.9182666666666667
150_150,5,scistreec,geno_acc,0.9792888888888889
150_150,6,copy_nj,tree_acc,0.3877551020408163
150_150,6,dice,tree_acc,0.35374149659863946
150_150,6,scistree2,tree_acc,0.02040816326530612
150_150,6,cellphy,tree_acc,0.04081632653061224
150_150,6,scistreec,tree_acc,0.12244897959183673
150_150,6,scistree2,geno_acc,0.9596444444444444
150_150,6,cellphy,geno_acc,0.9294666666666667
150_150,6,scistreec,geno_acc,0.9756
150_150,8,copy_nj,tree_acc,0.2585034013605442
150_150,8,dice,tree_acc,0.3401360544217687
150_150,8,scistree2,tree_acc,0.05442176870748299
150_150,8,cellphy,tree_acc,0.061224489795918366
150_150,8,scistreec,tree_acc,0.17006802721088435
150_150,8,scistree2,geno_acc,0.9617777777777777
150_150,8,cellphy,geno_acc,0.9152
150_150,8,scistreec,geno_acc,0.9724888888888888
150_150,9,copy_nj,tree_acc,0.3401360544217687
150_150,9,dice,tree_acc,0.3469387755102041
150_150,9,scistree2,tree_acc,0.047619047619047616
150_150,9,cellphy,tree_acc,0.05442176870748299
150_150,9,scistreec,tree_acc,0.1292517006802721
150_150,9,scistree2,geno_acc,0.9613333333333334
150_150,9,cellphy,geno_acc,0.8903111111111112
150_150,9,scistreec,geno_acc,0.9710222222222222
200_200,0,copy_nj,tree_acc,0.4416243654822335
200_200,0,dice,tree_acc,0.5025380710659898
200_200,0,scistree2,tree_acc,0.04060913705583756
200_200,0,cellphy,tree_acc,0.08629441624365482
200_200,0,scistreec,tree_acc,0.18274111675126903
200_200,0,scistree2,geno_acc,0.966075
200_200,0,cellphy,geno_acc,0.932075
