dataset,index,method,metric,value
50_50,14,scistree2,tree_acc,0.1276595744680851
50_50,14,cellphy,tree_acc,0.19148936170212766
50_50,14,scistreec,tree_acc,0.1702127659574468
50_50,14,scistree2,geno_acc,0.9868
50_50,14,cellphy,geno_acc,0.8796
50_50,14,scistreec,geno_acc,0.9868
50_50,15,copy_nj,tree_acc,0.23404255319148937
50_50,15,dice,tree_acc,0.2127659574468085
50_50,15,scistree2,tree_acc,0.3404255319148936
50_50,15,cellphy,tree_acc,0.2765957446808511
50_50,15,scistreec,tree_acc,0.5531914893617021
50_50,15,scistree2,geno_acc,0.9876
50_50,15,cellphy,geno_acc,0.852
50_50,15,scistreec,geno_acc,0.9872
50_50,16,copy_nj,tree_acc,0.23404255319148937
50_50,16,dice,tree_acc,0.23404255319148937
50_50,16,scistree2,tree_acc,0.3404255319148936
50_50,16,cellphy,tree_acc,0.2765957446808511
50_50,16,scistreec,tree_acc,0.3404255319148936
50_50,16,scistree2,geno_acc,0.988
50_50,16,cellphy,geno_acc,0.9168
50_50,16,scistreec,geno_acc,0.9876
50_50,17,copy_nj,tree_acc,0.1276595744680851
50_50,17,dice,tree_acc,0.14893617021276595
50_50,17,scistree2,tree_acc,0.14893617021276595
50_50,17,cellphy,tree_acc,0.19148936170212766
50_50,17,scistreec,tree_acc,0.23404255319148937
50_50,17,scistree2,geno_acc,0.9892
50_50,17,cellphy,geno_acc,0.9116
50_50,17,scistreec,geno_acc,0.9896
50_50,18,copy_nj,tree_acc,0.23404255319148937
50_50,18,dice,tree_acc,0.23404255319148937
50_50,18,scistree2,tree_acc,0.3191489361702128
50_50,18,cellphy,tree_acc,0.1702127659574468
50_50,18,scistreec,tree_acc,0.44680851063829785
50_50,18,scistree2,geno_acc,0.988
50_50,18,cellphy,geno_acc,0.8884
50_50,18,scistreec,geno_acc,0.9888
50_50,19,copy_nj,tree_acc,0.1276595744680851
50_50,19,dice,tree_acc,0.1276595744680851
50_50,19,scistree2,tree_acc,0.2553191489361702
50_50,19,cellphy,tree_acc,0.2765957446808511
50_50,19,scistreec,tree_acc,0.2553191489361702
50_50,19,scistree2,geno_acc,0.9848
50_50,19,cellphy,geno_acc,0.9192
50_50,19,scistreec,geno_acc,0.982
100_100,0,copy_nj,tree_acc,0.26804123711340205
100_100,0,dice,tree_acc,0.31958762886597936
100_100,0,scistree2,tree_acc,0.25773195876288657
100_100,0,cellphy,tree_acc,0.21649484536082475
100_100,0,scistreec,tree_acc,0.3711340206185567
100_100,0,scistree2,geno_acc,0.9923
100_100,0,cellphy,geno_acc,0.9319
100_100,0,scistreec,geno_acc,0.9935
100_100,1,copy_nj,tree_acc,0.20618556701030927
100_100,1,dice,tree_acc,0.25773195876288657
100_100,1,scistree2,tree_acc,0.20618556701030927
100_100,1,cellphy,tree_acc,0.23711340206185566
100_100,1,scistreec,tree_acc,0.36082474226804123
100_100,1,scistree2,geno_acc,0.9925
100_100,1,cellphy,geno_acc,0.9077
100_100,1,scistreec,geno_acc,0.9929
100_100,2,copy_nj,tree_acc,0.36082474226804123
100_100,2,dice,tree_acc,0.41237113402061853
100_100,2,scistree2,tree_acc,0.36082474226804123
100_100,2,cellphy,tree_acc,0.32989690721649484
100_100,2,scistreec,tree_acc,0.5051546391752577
100_100,2,scistree2,geno_acc,0.9955
100_100,2,cellphy,geno_acc,0.8865
100_100,2,scistreec,geno_acc,0.9955
100_100,3,copy_nj,tree_acc,0.20618556701030927
100_100,3,dice,tree_acc,0.17525773195876287
100_100,3,scistree2,tree_acc,0.20618556701030927
100_100,3,cellphy,tree_acc,0.18556701030927836
100_100,3,scistreec,tree_acc,0.41237113402061853
100_100,3,scistree2,geno_acc,0.9923
100_100,3,cellphy,geno_acc,0.9032
100_100,3,scistreec,geno_acc,0.9921
100_100,4,copy_nj,tree_acc,0.29896907216494845
100_100,4,dice,tree_acc,0.20618556701030927
100_100,4,scistree2,tree_acc,0.2268041237113402
100_100,4,cellphy,tree_acc,0.2268041237113402
100_100,4,scistreec,tree_acc,0.29896907216494845
100_100,4,scistree2,geno_acc,0.9932
100_100,4,cellphy,geno_acc,0.9463
100_100,4,scistreec,geno_acc,0.9941
100_100,5,copy_nj,tree_acc,0.26804123711340205
100_100,5,dice,tree_acc,0.23711340206185566
100_100,5,scistree2,tree_acc,0.13402061855670103
100_100,5,cellphy,tree_acc,0.12371134020618557
100_100,5,scistreec,tree_acc,0.25773195876288657
100_100,5,scistree2,geno_acc,0.9916
100_100,5,cellphy,geno_acc,0.8929
100_100,5,scistreec,geno_acc,0.9918
100_100,6,copy_nj,tree_acc,0.24742268041237114
100_100,6,dice,tree_acc,0.24742268041237114
100_100,6,scistree2,tree_acc,0.27835051546391754
100_100,6,cellphy,tree_acc,0.25773195876288657
100_100,6,scistreec,tree_acc,0.38144329896907214
100_100,6,scistree2,geno_acc,0.9932
100_100,6,cellphy,geno_acc,0.9532
100_100,6,scistreec,geno_acc,0.9932
100_100,7,copy_nj,tree_acc,0.28865979381443296
100_100,7,dice,tree_acc,0.2268041237113402
100_100,7,scistree2,tree_acc,0.18556701030927836
100_100,7,cellphy,tree_acc,0.17525773195876287
100_100,7,scistreec,tree_acc,0.30927835051546393
100_100,7,scistree2,geno_acc,0.9917
100_100,7,cellphy,geno_acc,0.9362
100_100,7,scistreec,geno_acc,0.9906
100_100,8,copy_nj,tree_acc,0.28865979381443296
100_100,8,dice,tree_acc,0.28865979381443296
100_100,8,scistree2,tree_acc,0.26804123711340205
100_100,8,cellphy,tree_acc,0.25773195876288657
100_100,8,scistreec,tree_acc,0.4329896907216495
100_100,8,scistree2,geno_acc,0.9943
100_100,8,cellphy,geno_acc,0.9034
100_100,8,scistreec,geno_acc,0.9945
100_100,9,copy_nj,tree_acc,0.3402061855670103
100_100,9,dice,tree_acc,0.35051546391752575
100_100,9,scistree2,tree_acc,0.36082474226804123
100_100,9,cellphy,tree_acc,0.4020618556701031
100_100,9,scistreec,tree_acc,0.5360824742268041
100_100,9,scistree2,geno_acc,0.9936
100_100,9,cellphy,geno_acc,0.9212
100_100,9,scistreec,geno_acc,0.9926
100_100,10,copy_nj,tree_acc,0.20618556701030927
100_100,10,dice,tree_acc,0.18556701030927836
100_100,10,scistree2,tree_acc,0.23711340206185566
100_100,10,cellphy,tree_acc,0.29896907216494845
100_100,10,scistreec,tree_acc,0.36082474226804123
100_100,10,scistree2,geno_acc,0.9929
100_100,10,cellphy,geno_acc,0.928
100_100,10,scistreec,geno_acc,0.9937
100_100,11,copy_nj,tree_acc,0.32989690721649484
100_100,11,dice,tree_acc,0.26804123711340205
100_100,11,scistree2,tree_acc,0.28865979381443296
100_100,11,cellphy,tree_acc,0.28865979381443296
100_100,11,scistreec,tree_acc,0.3402061855670103
100_100,11,scistree2,geno_acc,0.9939
100_100,11,cellphy,geno_acc,0.912
100_100,11,scistreec,geno_acc,0.994
100_100,12,copy_nj,tree_acc,0.3402061855670103
100_100,12,dice,tree_acc,0.3711340206185567
100_100,12,scistree2,tree_acc,0.28865979381443296
100_100,12,cellphy,tree_acc,0.29896907216494845
100_100,12,scistreec,tree_acc,0.5670103092783505
100_100,12,scistree2,geno_acc,0.9929
100_100,12,cellphy,geno_acc,0.8781
100_100,12,scistreec,geno_acc,0.9935
100_100,13,copy_nj,tree_acc,0.28865979381443296
100_100,13,dice,tree_acc,0.21649484536082475
100_100,13,scistree2,tree_acc,0.23711340206185566
100_100,13,cellphy,tree_acc,0.21649484536082475
100_100,13,scistreec,tree_acc,0.28865979381443296
100_100,13,scistree2,geno_acc,0.9915
100_100,13,cellphy,geno_acc,0.9088
100_100,13,scistreec,geno_acc,0.9917
100_100,14,copy_nj,tree_acc,0.26804123711340205
100_100,14,dice,tree_acc,0.28865979381443296
100_100,14,scistree2,tree_acc,0.23711340206185566
100_100,14,cellphy,tree_acc,0.32989690721649484
100_100,14,scistreec,tree_acc,0.4329896907216495
100_100,14,scistree2,geno_acc,0.9926
100_100,14,cellphy,geno_acc,0.9166
100_100,14,scistreec,geno_acc,0.9931
100_100,15,copy_nj,tree_acc,0.30927835051546393
100_100,15,dice,tree_acc,0.32989690721649484
100_100,15,scistree2,tree_acc,0.30927835051546393
100_100,15,cellphy,tree_acc,0.28865979381443296
100_100,15,scistreec,tree_acc,0.4845360824742268
100_100,15,scistree2,geno_acc,0.9935
100_100,15,cellphy,geno_acc,0.9004
100_100,15,scistreec,geno_acc,0.9943
100_100,16,copy_nj,tree_acc,0.2268041237113402
100_100,16,dice,tree_acc,0.20618556701030927
100_100,16,scistree2,tree_acc,0.16494845360824742
100_100,16,cellphy,tree_acc,0.24742268041237114
100_100,16,scistreec,tree_acc,0.3402061855670103
100_100,16,scistree2,geno_acc,0.9934
100_100,16,cellphy,geno_acc,0.9301
100_100,16,scistreec,geno_acc,0.9933
100_100,17,copy_nj,tree_acc,0.1958762886597938
100_100,17,dice,tree_acc,0.20618556701030927
100_100,17,scistree2,tree_acc,0.26804123711340205
100_100,17,cellphy,tree_acc,0.26804123711340205
100_100,17,scistreec,tree_acc,0.35051546391752575
100_100,17,scistree2,geno_acc,0.993
100_100,17,cellphy,geno_acc,0.9323
100_100,17,scistreec,geno_acc,0.9945
100_100,18,copy_nj,tree_acc,0.2268041237113402
100_100,18,dice,tree_acc,0.31958762886597936
100_100,18,scistree2,tree_acc,0.21649484536082475
100_100,18,cellphy,tree_acc,0.26804123711340205
100_100,18,scistreec,tree_acc,0.41237113402061853
100_100,18,scistree2,geno_acc,0.9918
100_100,18,cellphy,geno_acc,0.9469
100_100,18,scistreec,geno_acc,0.9927
100_100,19,copy_nj,tree_acc,0.20618556701030927
100_100,19,dice,tree_acc,0.27835051546391754
100_100,19,scistree2,tree_acc,0.2268041237113402
100_100,19,cellphy,tree_acc,0.23711340206185566
100_100,19,scistreec,tree_acc,0.29896907216494845
100_100,19,scistree2,geno_acc,0.9936
100_100,19,cellphy,geno_acc,0.9553
100_100,19,scistreec,geno_acc,0.9937
150_150,0,copy_nj,tree_acc,0.2925170068027211
150_150,0,dice,tree_acc,0.2653061224489796
150_150,0,scistree2,tree_acc,0.21768707482993196
150_150,0,cellphy,tree_acc,0.1836734693877551
150_150,0,scistreec,tree_acc,0.4965986394557823
150_150,0,scistree2,geno_acc,0.9946666666666667
150_150,0,cellphy,geno_acc,0.8969777777777778
150_150,0,scistreec,geno_acc,0.9953777777777778
150_150,1,copy_nj,tree_acc,0.3945578231292517
150_150,1,dice,tree_acc,0.4897959183673469
150_150,1,scistree2,tree_acc,0.32653061224489793
150_150,1,cellphy,tree_acc,0.2789115646258503
150_150,1,scistreec,tree_acc,0.5850340136054422
150_150,1,scistree2,geno_acc,0.9952888888888889
150_150,1,cellphy,geno_acc,0.9283111111111111
150_150,1,scistreec,geno_acc,0.9962222222222222
150_150,2,copy_nj,tree_acc,0.35374149659863946
150_150,2,dice,tree_acc,0.40816326530612246
150_150,2,scistree2,tree_acc,0.3401360544217687
150_150,2,cellphy,tree_acc,0.3401360544217687
150_150,2,scistreec,tree_acc,0.4965986394557823
150_150,2,scistree2,geno_acc,0.9959111111111111
150_150,2,cellphy,geno_acc,0.9551111111111111
150_150,2,scistreec,geno_acc,0.9961777777777778
150_150,3,copy_nj,tree_acc,0.3129251700680272
150_150,3,dice,tree_acc,0.3401360544217687
150_150,3,scistree2,tree_acc,0.2108843537414966
150_150,3,cellphy,tree_acc,0.23809523809523808
150_150,3,scistreec,tree_acc,0.38095238095238093
150_150,3,scistree2,geno_acc,0.994
150_150,3,cellphy,geno_acc,0.9622666666666667
150_150,3,scistreec,geno_acc,0.9950666666666667
150_150,4,copy_nj,tree_acc,0.30612244897959184
150_150,4,dice,tree_acc,0.29931972789115646
150_150,4,scistree2,tree_acc,0.23129251700680273
150_150,4,cellphy,tree_acc,0.24489795918367346
150_150,4,scistreec,tree_acc,0.4557823129251701
150_150,4,scistree2,geno_acc,0.9944444444444445
150_150,4,cellphy,geno_acc,0.9066222222222222
150_150,4,scistreec,geno_acc,0.9950666666666667
150_150,5,copy_nj,tree_acc,0.2653061224489796
150_150,5,dice,tree_acc,0.21768707482993196
150_150,5,scistree2,tree_acc,0.2653061224489796
150_150,5,cellphy,tree_acc,0.29931972789115646
150_150,5,scistreec,tree_acc,0.46258503401360546
150_150,5,scistree2,geno_acc,0.9952
150_150,5,cellphy,geno_acc,0.9555111111111111
150_150,5,scistreec,geno_acc,0.9958666666666667
150_150,6,copy_nj,tree_acc,0.2925170068027211
150_150,6,dice,tree_acc,0.32653061224489793
150_150,6,scistree2,tree_acc,0.272108843537415
150_150,6,cellphy,tree_acc,0.2585034013605442
150_150,6,scistreec,tree_acc,0.47619047619047616
150_150,6,scistree2,geno_acc,0.9952888888888889
150_150,6,cellphy,geno_acc,0.9405777777777777
150_150,6,scistreec,geno_acc,0.9962666666666666
150_150,7,copy_nj,tree_acc,0.3741496598639456
150_150,7,dice,tree_acc,0.4557823129251701
150_150,7,scistree2,tree_acc,0.3469387755102041
150_150,7,cellphy,tree_acc,0.3469387755102041
150_150,7,scistreec,tree_acc,0.6258503401360545
150_150,7,scistree2,geno_acc,0.9965333333333334
150_150,7,cellphy,geno_acc,0.9135111111111112
150_150,7,scistreec,geno_acc,0.9965777777777778
150_150,8,copy_nj,tree_acc,0.3333333333333333
150_150,8,dice,tree_acc,0.3741496598639456
150_150,8,scistree2,tree_acc,0.2653061224489796
150_150,8,cellphy,tree_acc,0.24489795918367346
150_150,8,scistreec,tree_acc,0.4013605442176871
150_150,8,scistree2,geno_acc,0.9956
150_150,8,cellphy,geno_acc,0.9574222222222222
150_150,8,scistreec,geno_acc,0.9954666666666667
150_150,9,copy_nj,tree_acc,0.36054421768707484
150_150,9,dice,tree_acc,0.3673469387755102
150_150,9,scistree2,tree_acc,0.29931972789115646
150_150,9,cellphy,tree_acc,0.30612244897959184
150_150,9,scistreec,tree_acc,0.4557823129251701
150_150,9,scistree2,geno_acc,0.9952444444444445
150_150,9,cellphy,geno_acc,0.9065333333333333
150_150,9,scistreec,geno_acc,0.9958222222222223
150_150,10,copy_nj,tree_acc,0.32653061224489793
150_150,10,dice,tree_acc,0.4421768707482993
150_150,10,scistree2,tree_acc,0.25170068027210885
150_150,10,cellphy,tree_acc,0.2108843537414966
150_150,10,scistreec,tree_acc,0.5238095238095238
150_150,10,scistree2,geno_acc,0.9956
150_150,10,cellphy,geno_acc,0.9651111111111111
150_150,10,scistreec,geno_acc,0.996
150_150,11,copy_nj,tree_acc,0.4421768707482993
150_150,11,dice,tree_acc,0.4489795918367347
150_150,11,scistree2,tree_acc,0.2585034013605442
150_150,11,cellphy,tree_acc,0.23129251700680273
150_150,11,scistreec,tree_acc,0.4013605442176871
150_150,11,scistree2,geno_acc,0.9951111111111111
150_150,11,cellphy,geno_acc,0.9215111111111111
150_150,11,scistreec,geno_acc,0.9954222222222222
150_150,12,copy_nj,tree_acc,0.272108843537415
150_150,12,dice,tree_acc,0.32653061224489793
150_150,12,scistree2,tree_acc,0.25170068027210885
150_150,12,cellphy,tree_acc,0.2789115646258503
150_150,12,scistreec,tree_acc,0.42857142857142855
150_150,12,scistree2,geno_acc,0.9950222222222223
150_150,12,cellphy,geno_acc,0.9380888888888889
150_150,12,scistreec,geno_acc,0.9956
150_150,13,copy_nj,tree_acc,0.32653061224489793
150_150,13,dice,tree_acc,0.32653061224489793
150_150,13,scistree2,tree_acc,0.3401360544217687
150_150,13,cellphy,tree_acc,0.29931972789115646
150_150,13,scistreec,tree_acc,0.5238095238095238
150_150,13,scistree2,geno_acc,0.9955555555555555
150_150,13,cellphy,geno_acc,0.9328444444444445
150_150,13,scistreec,geno_acc,0.9957777777777778
150_150,14,copy_nj,tree_acc,0.3333333333333333
150_150,14,dice,tree_acc,0.30612244897959184
150_150,14,scistree2,tree_acc,0.2653061224489796
150_150,14,cellphy,tree_acc,0.25170068027210885
150_150,14,scistreec,tree_acc,0.4489795918367347
150_150,14,scistree2,geno_acc,0.9960444444444444
150_150,14,cellphy,geno_acc,0.946
150_150,14,scistreec,geno_acc,0.9963555555555555
150_150,15,copy_nj,tree_acc,0.3333333333333333
150_150,15,dice,tree_acc,0.3333333333333333
150_150,15,scistree2,tree_acc,0.25170068027210885
150_150,15,cellphy,tree_acc,0.2585034013605442
150_150,15,scistreec,tree_acc,0.46938775510204084
150_150,15,scistree2,geno_acc,0.9953777777777778
150_150,15,cellphy,geno_acc,0.9435111111111111
150_150,15,scistreec,geno_acc,0.9957777777777778
150_150,16,copy_nj,tree_acc,0.2857142857142857
150_150,16,dice,tree_acc,0.2653061224489796
150_150,16,scistree2,tree_acc,0.2108843537414966
150_150,16,cellphy,tree_acc,0.25170068027210885
150_150,16,scistreec,tree_acc,0.3877551020408163
150_150,16,scistree2,geno_acc,0.9941777777777778
150_150,16,cellphy,geno_acc,0.9362666666666667
150_150,16,scistreec,geno_acc,0.9950222222222223
150_150,17,copy_nj,tree_acc,0.29931972789115646
150_150,17,dice,tree_acc,0.3401360544217687
150_150,17,scistree2,tree_acc,0.23809523809523808
150_150,17,cellphy,tree_acc,0.272108843537415
