dataset,index,method,metric,value
0.3,4,scistree2,geno_acc,0.9926
0.3,4,cellphy,geno_acc,0.9222
0.3,4,scistreec,geno_acc,0.9928
0.3,5,copy_nj,tree_acc,0.0
0.3,5,dice,tree_acc,0.010309278350515464
0.3,5,scistree2,tree_acc,0.3402061855670103
0.3,5,cellphy,tree_acc,0.3402061855670103
0.3,5,scistreec,tree_acc,0.3917525773195876
0.3,5,scistree2,geno_acc,0.9944
0.3,5,cellphy,geno_acc,0.8737
0.3,5,scistreec,geno_acc,0.994
0.3,6,copy_nj,tree_acc,0.010309278350515464
0.3,6,dice,tree_acc,0.010309278350515464
0.3,6,scistree2,tree_acc,0.27835051546391754
0.3,6,cellphy,tree_acc,0.23711340206185566
0.3,6,scistreec,tree_acc,0.36082474226804123
0.3,6,scistree2,geno_acc,0.9943
0.3,6,cellphy,geno_acc,0.9417
0.3,6,scistreec,geno_acc,0.9932
0.3,7,copy_nj,tree_acc,0.010309278350515464
0.3,7,dice,tree_acc,0.010309278350515464
0.3,7,scistree2,tree_acc,0.20618556701030927
0.3,7,cellphy,tree_acc,0.20618556701030927
0.3,7,scistreec,tree_acc,0.27835051546391754
0.3,7,scistree2,geno_acc,0.9927
0.3,7,cellphy,geno_acc,0.889
0.3,7,scistreec,geno_acc,0.9918
0.3,8,copy_nj,tree_acc,0.0
0.3,8,dice,tree_acc,0.0
0.3,8,scistree2,tree_acc,0.26804123711340205
0.3,8,cellphy,tree_acc,0.23711340206185566
0.3,8,scistreec,tree_acc,0.27835051546391754
0.3,8,scistree2,geno_acc,0.9919
0.3,8,cellphy,geno_acc,0.9054
0.3,8,scistreec,geno_acc,0.9901
0.3,9,copy_nj,tree_acc,0.0
0.3,9,dice,tree_acc,0.0
0.3,9,scistree2,tree_acc,0.28865979381443296
0.3,9,cellphy,tree_acc,0.21649484536082475
0.3,9,scistreec,tree_acc,0.3402061855670103
0.3,9,scistree2,geno_acc,0.9938
0.3,9,cellphy,geno_acc,0.914
0.3,9,scistreec,geno_acc,0.9903
0.5,0,copy_nj,tree_acc,0.0
0.5,0,dice,tree_acc,0.0
0.5,0,scistree2,tree_acc,0.17525773195876287
0.5,0,cellphy,tree_acc,0.17525773195876287
0.5,0,scistreec,tree_acc,0.16494845360824742
0.5,0,scistree2,geno_acc,0.9932
0.5,0,cellphy,geno_acc,0.8977
0.5,0,scistreec,geno_acc,0.984
0.5,1,copy_nj,tree_acc,0.0
0.5,1,dice,tree_acc,0.0
0.5,1,scistree2,tree_acc,0.20618556701030927
0.5,1,cellphy,tree_acc,0.25773195876288657
0.5,1,scistreec,tree_acc,0.23711340206185566
0.5,1,scistree2,geno_acc,0.9935
0.5,1,cellphy,geno_acc,0.9061
0.5,1,scistreec,geno_acc,0.9895
0.5,2,copy_nj,tree_acc,0.010309278350515464
0.5,2,dice,tree_acc,0.010309278350515464
0.5,2,scistree2,tree_acc,0.23711340206185566
0.5,2,cellphy,tree_acc,0.20618556701030927
0.5,2,scistreec,tree_acc,0.23711340206185566
0.5,2,scistree2,geno_acc,0.993
0.5,2,cellphy,geno_acc,0.9052
0.5,2,scistreec,geno_acc,0.9928
0.5,3,copy_nj,tree_acc,0.0
0.5,3,dice,tree_acc,0.0
0.5,3,scistree2,tree_acc,0.3402061855670103
0.5,3,cellphy,tree_acc,0.31958762886597936
0.5,3,scistreec,tree_acc,0.36082474226804123
0.5,3,scistree2,geno_acc,0.9937
0.5,3,cellphy,geno_acc,0.8963
0.5,3,scistreec,geno_acc,0.9925
0.5,4,copy_nj,tree_acc,0.0
0.5,4,dice,tree_acc,0.010309278350515464
0.5,4,scistree2,tree_acc,0.24742268041237114
0.5,4,cellphy,tree_acc,0.27835051546391754
0.5,4,scistreec,tree_acc,0.26804123711340205
0.5,4,scistree2,geno_acc,0.9924
0.5,4,cellphy,geno_acc,0.9224
0.5,4,scistreec,geno_acc,0.9834
0.5,5,copy_nj,tree_acc,0.0
0.5,5,dice,tree_acc,0.0
0.5,5,scistree2,tree_acc,0.26804123711340205
0.5,5,cellphy,tree_acc,0.26804123711340205
0.5,5,scistreec,tree_acc,0.30927835051546393
0.5,5,scistree2,geno_acc,0.995
0.5,5,cellphy,geno_acc,0.9251
0.5,5,scistreec,geno_acc,0.9939
0.5,6,copy_nj,tree_acc,0.0
0.5,6,dice,tree_acc,0.0
0.5,6,scistree2,tree_acc,0.1958762886597938
0.5,6,cellphy,tree_acc,0.23711340206185566
0.5,6,scistreec,tree_acc,0.18556701030927836
0.5,6,scistree2,geno_acc,0.9925
0.5,6,cellphy,geno_acc,0.9404
0.5,6,scistreec,geno_acc,0.9909
0.5,7,copy_nj,tree_acc,0.0
0.5,7,dice,tree_acc,0.0
0.5,7,scistree2,tree_acc,0.14432989690721648
0.5,7,cellphy,tree_acc,0.18556701030927836
0.5,7,scistreec,tree_acc,0.1958762886597938
0.5,7,scistree2,geno_acc,0.9912
0.5,7,cellphy,geno_acc,0.8852
0.5,7,scistreec,geno_acc,0.9776
0.5,8,copy_nj,tree_acc,0.010309278350515464
0.5,8,dice,tree_acc,0.0
0.5,8,scistree2,tree_acc,0.16494845360824742
0.5,8,cellphy,tree_acc,0.17525773195876287
0.5,8,scistreec,tree_acc,0.16494845360824742
0.5,8,scistree2,geno_acc,0.9915
0.5,8,cellphy,geno_acc,0.9072
0.5,8,scistreec,geno_acc,0.9878
0.5,9,copy_nj,tree_acc,0.0
0.5,9,dice,tree_acc,0.0
0.5,9,scistree2,tree_acc,0.2268041237113402
0.5,9,cellphy,tree_acc,0.20618556701030927
0.5,9,scistreec,tree_acc,0.27835051546391754
0.5,9,scistree2,geno_acc,0.9915
0.5,9,cellphy,geno_acc,0.9376
0.5,9,scistreec,geno_acc,0.9912
0.7,0,copy_nj,tree_acc,0.010309278350515464
0.7,0,dice,tree_acc,0.0
0.7,0,scistree2,tree_acc,0.25773195876288657
0.7,0,cellphy,tree_acc,0.2268041237113402
0.7,0,scistreec,tree_acc,0.30927835051546393
0.7,0,scistree2,geno_acc,0.9936
0.7,0,cellphy,geno_acc,0.938
0.7,0,scistreec,geno_acc,0.9926
0.7,1,copy_nj,tree_acc,0.0
0.7,1,dice,tree_acc,0.0
0.7,1,scistree2,tree_acc,0.12371134020618557
0.7,1,cellphy,tree_acc,0.14432989690721648
0.7,1,scistreec,tree_acc,0.1134020618556701
0.7,1,scistree2,geno_acc,0.9909
0.7,1,cellphy,geno_acc,0.9421
0.7,1,scistreec,geno_acc,0.9901
0.7,2,copy_nj,tree_acc,0.0
0.7,2,dice,tree_acc,0.0
0.7,2,scistree2,tree_acc,0.31958762886597936
0.7,2,cellphy,tree_acc,0.26804123711340205
0.7,2,scistreec,tree_acc,0.30927835051546393
0.7,2,scistree2,geno_acc,0.9926
0.7,2,cellphy,geno_acc,0.9039
0.7,2,scistreec,geno_acc,0.9881
0.7,3,copy_nj,tree_acc,0.0
0.7,3,dice,tree_acc,0.0
0.7,3,scistree2,tree_acc,0.2268041237113402
0.7,3,cellphy,tree_acc,0.24742268041237114
0.7,3,scistreec,tree_acc,0.16494845360824742
0.7,3,scistree2,geno_acc,0.9908
0.7,3,cellphy,geno_acc,0.9204
0.7,3,scistreec,geno_acc,0.9898
0.7,4,copy_nj,tree_acc,0.0
0.7,4,dice,tree_acc,0.0
0.7,4,scistree2,tree_acc,0.38144329896907214
0.7,4,cellphy,tree_acc,0.3917525773195876
0.7,4,scistreec,tree_acc,0.422680412371134
0.7,4,scistree2,geno_acc,0.9939
0.7,4,cellphy,geno_acc,0.8912
0.7,4,scistreec,geno_acc,0.9928
0.7,5,copy_nj,tree_acc,0.0
0.7,5,dice,tree_acc,0.010309278350515464
0.7,5,scistree2,tree_acc,0.35051546391752575
0.7,5,cellphy,tree_acc,0.4020618556701031
0.7,5,scistreec,tree_acc,0.4020618556701031
0.7,5,scistree2,geno_acc,0.9943
0.7,5,cellphy,geno_acc,0.8802
0.7,5,scistreec,geno_acc,0.9938
0.7,6,copy_nj,tree_acc,0.0
0.7,6,dice,tree_acc,0.0
0.7,6,scistree2,tree_acc,0.25773195876288657
0.7,6,cellphy,tree_acc,0.2268041237113402
0.7,6,scistreec,tree_acc,0.24742268041237114
0.7,6,scistree2,geno_acc,0.9926
0.7,6,cellphy,geno_acc,0.9356
0.7,6,scistreec,geno_acc,0.9902
0.7,7,copy_nj,tree_acc,0.0
0.7,7,dice,tree_acc,0.0
0.7,7,scistree2,tree_acc,0.1958762886597938
0.7,7,cellphy,tree_acc,0.16494845360824742
0.7,7,scistreec,tree_acc,0.21649484536082475
0.7,7,scistree2,geno_acc,0.9921
0.7,7,cellphy,geno_acc,0.9357
0.7,7,scistreec,geno_acc,0.9889
0.7,8,copy_nj,tree_acc,0.0
0.7,8,dice,tree_acc,0.010309278350515464
0.7,8,scistree2,tree_acc,0.36082474226804123
0.7,8,cellphy,tree_acc,0.422680412371134
0.7,8,scistreec,tree_acc,0.32989690721649484
0.7,8,scistree2,geno_acc,0.9952
0.7,8,cellphy,geno_acc,0.9416
0.7,8,scistreec,geno_acc,0.9928
0.7,9,copy_nj,tree_acc,0.0
0.7,9,dice,tree_acc,0.0
0.7,9,scistree2,tree_acc,0.2268041237113402
0.7,9,cellphy,tree_acc,0.1958762886597938
0.7,9,scistreec,tree_acc,0.18556701030927836
0.7,9,scistree2,geno_acc,0.9916
0.7,9,cellphy,geno_acc,0.9329
0.7,9,scistreec,geno_acc,0.9904
